Date,Open,High,Low,Close,Adj Close,Volume
2023-02-18,24565.296875,24798.8359375,24468.373046875,24641.27734375,24641.27734375,19625427158
2023-02-19,24640.02734375,25093.0546875,24327.642578125,24327.642578125,24327.642578125,25555105670
2023-02-20,24336.623046875,25020.458984375,23927.91015625,24829.1484375,24829.1484375,28987376573
2023-02-21,24833.048828125,25126.8515625,24200.36328125,24436.353515625,24436.353515625,31252098714
2023-02-22,24437.41796875,24472.33984375,23644.318359375,24188.84375,24188.84375,30199996781
2023-02-23,24190.71875,24572.08984375,23693.919921875,23947.4921875,23947.4921875,30476264066
2023-02-24,23946.0078125,24103.705078125,23007.072265625,23198.126953125,23198.126953125,26811744928
2023-02-25,23200.125,23210.2109375,22861.55859375,23175.375,23175.375,16100721565
2023-02-26,23174.150390625,23654.3671875,23084.220703125,23561.212890625,23561.212890625,16644534842
2023-02-27,23561.451171875,23857.890625,23205.87890625,23522.87109375,23522.87109375,22660763494
2023-02-28,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23147.353515625,20535363434
2023-03-01,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23646.55078125,24662841200
2023-03-02,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23475.466796875,20386398516
2023-03-03,23476.6328125,23479.34765625,22213.23828125,22362.6796875,22362.6796875,26062404610
2023-03-04,22362.923828125,22405.177734375,22198.98046875,22353.349609375,22353.349609375,11166012913
2023-03-05,22354.14453125,22613.685546875,22307.142578125,22435.513671875,22435.513671875,13317001733
2023-03-06,22436.81640625,22584.29296875,22331.314453125,22429.7578125,22429.7578125,17353192895
2023-03-07,22428.322265625,22527.41796875,22011.26171875,22219.76953125,22219.76953125,22765452204
2023-03-08,22216.44140625,22268.896484375,21708.05078125,21718.080078125,21718.080078125,22536575684
2023-03-09,21720.080078125,21802.716796875,20210.306640625,20363.021484375,20363.021484375,30364664171
2023-03-10,20367.001953125,20370.595703125,19628.25390625,20187.244140625,20187.244140625,39578257695
2023-03-11,20187.876953125,20792.525390625,20068.66015625,20632.41015625,20632.41015625,30180288176
2023-03-12,20628.029296875,22185.03125,20448.806640625,22163.94921875,22163.94921875,29279035521
2023-03-13,22156.40625,24550.837890625,21918.19921875,24197.533203125,24197.533203125,49466362688
2023-03-14,24201.765625,26514.716796875,24081.18359375,24746.07421875,24746.07421875,54622230164
2023-03-15,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24375.9609375,43655701450
2023-03-16,24373.45703125,25190.326171875,24225.111328125,25052.7890625,25052.7890625,33866061747
2023-03-17,25055.123046875,27787.8125,24955.169921875,27423.9296875,27423.9296875,50730261335
2023-03-18,27446.369140625,27698.314453125,26885.06640625,27390.166015625,27390.166015625,40550367232
